                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6255,                 2.6114,                 3.0664,                0.65062,                0.62441,                0.68701,                0.34024,                  1.657,                 1.8588,                 2.2237,             0.00066492,             0.00066492,             0.00066492
                      2,                 1.7256,                 1.4853,                 2.0226,                0.84476,                0.72894,                0.84363,                0.46748,                 1.5462,                 1.2294,                 2.0608,              0.0013184,              0.0013184,              0.0013184
                      3,                 1.5335,                 1.2193,                 1.8052,                0.80923,                0.80456,                0.86766,                0.53194,                 1.3112,                 1.1115,                 1.8027,              0.0019587,              0.0019587,              0.0019587
                      4,                 1.4145,                 1.0511,                 1.6836,                0.91675,                0.84765,                0.92092,                0.59936,                 1.2095,                 0.8133,                 1.7153,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3427,                0.94302,                 1.6138,                 0.9018,                0.85271,                0.92646,                0.60855,                 1.2355,                 0.7458,                 1.6881,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.287,                0.87313,                 1.5642,                0.93743,                0.86637,                0.94419,                0.64824,                 1.0984,                0.67688,                 1.5451,               0.001901,               0.001901,               0.001901
                      7,                 1.2535,                0.83894,                  1.532,                0.94257,                0.87851,                0.94917,                0.64947,                 1.0837,                0.63681,                 1.5284,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2143,                0.78265,                 1.4924,                0.93561,                0.88066,                0.94585,                0.66016,                 1.0326,                0.61529,                 1.4731,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1805,                0.74712,                 1.4519,                0.96388,                0.90507,                0.96792,                0.69936,                0.97142,                0.54052,                 1.3952,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1477,                0.71701,                 1.4253,                0.95404,                0.88296,                0.95253,                0.68239,                 1.0037,                0.57408,                 1.4178,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1307,                0.69283,                 1.4072,                0.96922,                0.91933,                0.97126,                 0.7192,                0.93111,                0.50048,                   1.37,               0.001802,               0.001802,               0.001802
                     12,                 1.1068,                0.66426,                 1.3825,                0.96207,                0.92369,                0.97056,                0.70211,                 0.9718,                0.51783,                 1.4025,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0904,                0.65112,                 1.3693,                0.95902,                0.91727,                0.96936,                0.70926,                0.94574,                0.50746,                 1.3638,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.085,                0.64566,                 1.3603,                0.96349,                0.92436,                0.97453,                0.71671,                0.92475,                0.48316,                 1.3415,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0669,                0.62932,                 1.3475,                0.97348,                0.92966,                0.97499,                0.73616,                0.87469,                0.45449,                 1.2921,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0481,                0.60965,                  1.331,                0.96801,                0.92911,                0.97527,                0.73009,                0.89772,                0.46016,                 1.3115,               0.001703,               0.001703,               0.001703
                     17,                 1.0444,                0.60181,                 1.3231,                0.97218,                0.93248,                0.97743,                  0.737,                0.86963,                0.44801,                  1.279,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0326,                0.58935,                  1.309,                0.96798,                0.93278,                0.97723,                0.73586,                0.88497,                0.44423,                 1.2826,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0274,                0.57686,                 1.3088,                0.97235,                0.93847,                0.97792,                0.73736,                0.87629,                0.43383,                 1.2867,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0129,                0.57324,                 1.2971,                0.96977,                0.93383,                0.97932,                0.74707,                0.86034,                0.42896,                 1.2565,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0066,                 0.5674,                 1.2901,                0.98042,                0.93266,                0.97901,                0.74539,                0.85244,                0.41902,                 1.2552,               0.001604,               0.001604,               0.001604
                     22,                0.99504,                0.55396,                 1.2838,                0.97587,                0.94454,                0.98135,                0.75483,                0.83428,                0.40891,                 1.2444,              0.0015842,              0.0015842,              0.0015842
                     23,                0.99617,                0.54622,                 1.2807,                0.95388,                0.93856,                0.97635,                0.74165,                0.84888,                0.42433,                 1.2592,              0.0015644,              0.0015644,              0.0015644
                     24,                0.99012,                0.54879,                 1.2778,                0.96586,                0.94392,                0.98145,                0.75033,                0.83686,                 0.4127,                  1.243,              0.0015446,              0.0015446,              0.0015446
                     25,                0.98384,                0.54133,                 1.2694,                0.97567,                0.95357,                0.98223,                0.75064,                0.83324,                0.40151,                 1.2451,              0.0015248,              0.0015248,              0.0015248
                     26,                0.98067,                0.53367,                 1.2699,                0.96823,                0.95218,                0.98243,                0.76451,                0.82316,                0.39458,                 1.2387,               0.001505,               0.001505,               0.001505
                     27,                0.96767,                 0.5238,                 1.2543,                0.97597,                 0.9519,                 0.9844,                 0.7636,                0.80325,                0.38124,                 1.2137,              0.0014852,              0.0014852,              0.0014852
                     28,                0.95818,                0.51543,                 1.2472,                0.97562,                0.95681,                0.98427,                0.76684,                0.80089,                0.37537,                 1.2113,              0.0014654,              0.0014654,              0.0014654
                     29,                0.94815,                0.50971,                  1.238,                 0.9807,                0.95441,                 0.9881,                0.77157,                0.80138,                0.37309,                 1.2065,              0.0014456,              0.0014456,              0.0014456
                     30,                0.95518,                0.51125,                 1.2427,                 0.9719,                0.95802,                0.98657,                0.76897,                0.79544,                0.37737,                 1.2073,              0.0014258,              0.0014258,              0.0014258
                     31,                0.94277,                 0.5023,                 1.2349,                0.97901,                0.95441,                0.98811,                0.77293,                0.80302,                0.37735,                 1.2097,               0.001406,               0.001406,               0.001406
                     32,                0.93718,                0.50168,                   1.23,                0.97532,                0.95587,                0.98732,                0.77501,                0.78945,                0.36536,                 1.1974,              0.0013862,              0.0013862,              0.0013862
                     33,                 0.9276,                0.49465,                 1.2191,                0.98023,                0.95913,                0.98726,                0.77028,                0.79296,                0.36835,                 1.1898,              0.0013664,              0.0013664,              0.0013664
                     34,                0.92812,                0.49247,                 1.2169,                0.98334,                 0.9519,                0.98846,                0.77301,                0.79957,                0.36832,                 1.1989,              0.0013466,              0.0013466,              0.0013466
                     35,                0.93024,                0.49562,                 1.2167,                0.97848,                 0.9633,                0.98815,                0.77534,                0.78165,                0.35638,                 1.1765,              0.0013268,              0.0013268,              0.0013268
                     36,                0.92327,                0.48751,                   1.21,                0.98286,                0.95858,                0.98791,                0.77616,                0.77463,                0.35276,                 1.1735,               0.001307,               0.001307,               0.001307
                     37,                0.92129,                0.48048,                 1.2105,                0.97605,                0.96163,                0.98705,                 0.7729,                0.78239,                 0.3555,                 1.1806,              0.0012872,              0.0012872,              0.0012872
                     38,                0.91108,                0.47454,                 1.2015,                0.98085,                 0.9658,                0.98963,                0.77974,                0.76993,                0.34871,                 1.1697,              0.0012674,              0.0012674,              0.0012674
