                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.90573,                0.47513,                  1.202,                0.98127,                0.96112,                0.98929,                0.78488,                0.76432,                0.34359,                 1.1657,              0.0012476,              0.0012476,              0.0012476
                     40,                0.89931,                0.46872,                 1.1978,                0.97611,                 0.9658,                0.98928,                0.78622,                0.76391,                0.34586,                 1.1664,              0.0012278,              0.0012278,              0.0012278
                     41,                0.89945,                0.46475,                 1.1936,                0.98241,                0.96256,                0.98996,                0.78298,                0.76457,                0.34302,                 1.1647,               0.001208,               0.001208,               0.001208
                     42,                0.89305,                0.46327,                 1.1926,                0.97807,                0.97109,                0.99058,                0.78478,                0.76024,                 0.3378,                 1.1663,              0.0011882,              0.0011882,              0.0011882
                     43,                0.89516,                 0.4617,                 1.1932,                0.98023,                0.96507,                0.99057,                0.78795,                0.75824,                0.33693,                 1.1603,              0.0011684,              0.0011684,              0.0011684
                     44,                0.88625,                0.45663,                 1.1865,                0.98627,                0.96441,                0.98966,                0.78485,                0.76304,                0.33445,                 1.1597,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.8768,                0.44899,                  1.178,                  0.982,                0.96747,                 0.9914,                0.78991,                0.75205,                0.32987,                 1.1533,              0.0011288,              0.0011288,              0.0011288
                     46,                0.88293,                 0.4525,                 1.1816,                0.97853,                0.96858,                0.99106,                0.79126,                0.74804,                 0.3289,                 1.1519,               0.001109,               0.001109,               0.001109
                     47,                0.87478,                0.44552,                 1.1751,                0.98059,                0.96775,                0.99063,                0.78986,                0.74667,                0.32458,                 1.1467,              0.0010892,              0.0010892,              0.0010892
                     48,                0.87068,                0.43945,                 1.1707,                0.98463,                 0.9697,                0.99132,                0.79328,                0.74978,                0.32236,                 1.1474,              0.0010694,              0.0010694,              0.0010694
                     49,                0.86358,                0.44013,                 1.1689,                0.98185,                 0.9722,                0.99152,                0.79286,                0.74307,                0.31929,                 1.1447,              0.0010496,              0.0010496,              0.0010496
                     50,                0.86663,                 0.4387,                 1.1723,                 0.9859,                0.96664,                0.98991,                 0.7976,                0.74051,                0.31688,                 1.1383,              0.0010298,              0.0010298,              0.0010298
                     51,                0.86403,                0.43633,                 1.1638,                0.98193,                0.96914,                 0.9903,                0.79272,                 0.7441,                0.31853,                 1.1385,                0.00101,                0.00101,                0.00101
                     52,                0.86434,                0.43632,                 1.1629,                0.98664,                0.96519,                0.99143,                0.79589,                0.74088,                0.31934,                 1.1371,              0.0009902,              0.0009902,              0.0009902
                     53,                0.84915,                0.43017,                 1.1534,                 0.9828,                0.96927,                0.99197,                0.79834,                0.73391,                0.31402,                 1.1304,              0.0009704,              0.0009704,              0.0009704
                     54,                0.84978,                0.42554,                 1.1531,                 0.9824,                0.97137,                0.99208,                0.79836,                0.73163,                0.31276,                 1.1301,              0.0009506,              0.0009506,              0.0009506
                     55,                0.85422,                0.42738,                 1.1582,                0.98313,                0.97186,                0.99157,                0.79877,                0.72967,                0.31136,                 1.1318,              0.0009308,              0.0009308,              0.0009308
                     56,                0.85286,                0.42841,                  1.159,                0.98236,                0.96719,                0.99185,                0.79901,                0.72815,                0.31078,                 1.1292,               0.000911,               0.000911,               0.000911
                     57,                0.84537,                0.42452,                 1.1542,                 0.9831,                0.97019,                0.99133,                0.80014,                0.72513,                0.31004,                 1.1278,              0.0008912,              0.0008912,              0.0008912
                     58,                0.84147,                0.41977,                 1.1466,                0.98065,                0.97194,                0.99128,                0.80263,                0.72218,                0.30434,                 1.1224,              0.0008714,              0.0008714,              0.0008714
                     59,                0.83149,                 0.4151,                 1.1395,                0.98606,                0.96831,                0.99243,                0.80551,                0.72011,                0.30398,                 1.1138,              0.0008516,              0.0008516,              0.0008516
                     60,                0.83519,                0.41529,                 1.1385,                0.98655,                0.97081,                0.99211,                0.80504,                0.71892,                0.30401,                 1.1146,              0.0008318,              0.0008318,              0.0008318
                     61,                0.83181,                0.41299,                 1.1398,                0.97935,                0.97573,                0.99189,                0.80497,                0.72148,                0.30262,                 1.1169,               0.000812,               0.000812,               0.000812
                     62,                0.83326,                0.41337,                 1.1371,                 0.9826,                0.97351,                0.99195,                0.80462,                0.71988,                0.30262,                 1.1119,              0.0007922,              0.0007922,              0.0007922
                     63,                0.82573,                0.40924,                 1.1365,                0.98736,                 0.9697,                0.99257,                0.80606,                0.71553,                0.30032,                 1.1133,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.8237,                0.40957,                 1.1331,                0.98293,                0.97387,                0.99175,                0.80535,                0.71537,                0.29823,                 1.1128,              0.0007526,              0.0007526,              0.0007526
                     65,                0.81967,                0.40205,                 1.1281,                0.98121,                0.97249,                 0.9922,                 0.8064,                0.71033,                0.29677,                 1.1062,              0.0007328,              0.0007328,              0.0007328
                     66,                0.81733,                0.40286,                  1.131,                 0.9829,                0.97415,                 0.9917,                0.80765,                0.71239,                0.29542,                 1.1098,               0.000713,               0.000713,               0.000713
                     67,                0.81452,                 0.4026,                 1.1286,                0.98611,                 0.9722,                0.99236,                0.80942,                0.71191,                0.29517,                 1.1101,              0.0006932,              0.0006932,              0.0006932
                     68,                0.81721,                 0.4003,                  1.129,                0.98207,                 0.9748,                0.99244,                0.80709,                0.71145,                0.29393,                 1.1081,              0.0006734,              0.0006734,              0.0006734
                     69,                0.81255,                0.39949,                 1.1238,                0.98233,                0.97375,                0.99244,                0.80398,                0.70924,                  0.293,                 1.1076,              0.0006536,              0.0006536,              0.0006536
                     70,                0.80054,                 0.3952,                 1.1211,                0.98494,                0.97526,                0.99202,                0.80648,                0.71107,                 0.2935,                 1.1085,              0.0006338,              0.0006338,              0.0006338
                     71,                0.80673,                0.39686,                 1.1231,                0.98271,                0.97748,                0.99267,                0.80916,                0.70636,                 0.2917,                 1.1021,               0.000614,               0.000614,               0.000614
                     72,                0.80378,                0.39206,                 1.1173,                0.98202,                0.97832,                0.99283,                0.81054,                0.70419,                   0.29,                 1.0979,              0.0005942,              0.0005942,              0.0005942
                     73,                0.79864,                0.38654,                 1.1119,                0.98401,                0.97387,                0.99322,                0.81139,                0.70332,                0.28864,                 1.0963,              0.0005744,              0.0005744,              0.0005744
                     74,                0.79768,                0.38628,                 1.1126,                0.98164,                0.97554,                0.99181,                0.80939,                0.70477,                0.28851,                 1.0982,              0.0005546,              0.0005546,              0.0005546
                     75,                0.79938,                0.38721,                  1.114,                0.98424,                0.97245,                0.99242,                0.81052,                0.70079,                0.28746,                 1.0932,              0.0005348,              0.0005348,              0.0005348
                     76,                0.79381,                0.38507,                 1.1093,                0.98342,                0.97317,                0.99217,                0.81161,                0.69968,                0.28735,                 1.0932,               0.000515,               0.000515,               0.000515
                     77,                 0.7886,                 0.3811,                 1.1118,                0.98646,                0.97053,                0.99248,                 0.8115,                0.69975,                0.28528,                 1.0955,              0.0004952,              0.0004952,              0.0004952
                     78,                0.78466,                0.37803,                 1.1075,                0.98068,                0.97371,                0.99287,                0.81333,                0.69712,                0.28369,                 1.0944,              0.0004754,              0.0004754,              0.0004754
                     79,                0.78795,                 0.3806,                 1.1043,                0.98266,                0.97706,                0.99276,                0.81323,                0.69685,                0.28336,                 1.0939,              0.0004556,              0.0004556,              0.0004556
                     80,                0.78255,                0.37868,                 1.1017,                0.98431,                0.97642,                 0.9929,                0.81373,                0.69464,                0.28342,                 1.0922,              0.0004358,              0.0004358,              0.0004358
                     81,                0.77965,                0.37783,                 1.1031,                0.98485,                 0.9758,                0.99279,                0.81379,                0.69639,                0.28244,                 1.0925,               0.000416,               0.000416,               0.000416
                     82,                0.78012,                0.37645,                 1.0965,                0.98789,                0.97487,                 0.9928,                0.81248,                0.69592,                0.28214,                 1.0916,              0.0003962,              0.0003962,              0.0003962
                     83,                0.77485,                 0.3746,                 1.0998,                0.98649,                 0.9742,                0.99253,                0.81368,                0.69461,                0.28106,                 1.0896,              0.0003764,              0.0003764,              0.0003764
                     84,                0.77794,                0.37269,                  1.101,                0.98952,                0.97111,                0.99212,                0.81423,                0.69586,                0.28113,                  1.089,              0.0003566,              0.0003566,              0.0003566
                     85,                0.77211,                0.37047,                 1.0918,                0.98707,                0.97624,                0.99246,                0.81409,                0.69604,                0.28012,                 1.0895,              0.0003368,              0.0003368,              0.0003368
                     86,                0.77349,                0.36891,                 1.0934,                0.98625,                0.97689,                0.99324,                0.81459,                0.69202,                0.27828,                 1.0839,               0.000317,               0.000317,               0.000317
                     87,                0.76643,                0.36852,                  1.088,                0.98459,                0.97694,                0.99302,                  0.814,                0.69177,                0.27774,                  1.083,              0.0002972,              0.0002972,              0.0002972
                     88,                0.76721,                0.36395,                 1.0891,                0.98677,                0.97453,                0.99336,                0.81491,                0.69125,                0.27783,                 1.0843,              0.0002774,              0.0002774,              0.0002774
                     89,                0.76045,                0.36366,                 1.0865,                0.98733,                0.97474,                0.99327,                0.81417,                0.69042,                0.27689,                 1.0835,              0.0002576,              0.0002576,              0.0002576
                     90,                0.75799,                0.36216,                 1.0853,                0.98756,                0.97387,                0.99306,                0.81382,                 0.6909,                0.27649,                 1.0845,              0.0002378,              0.0002378,              0.0002378
                     91,                0.68442,                0.30294,                 1.0421,                0.98732,                0.97375,                0.99307,                0.81493,                0.69166,                0.27812,                 1.0844,               0.000218,               0.000218,               0.000218
                     92,                0.68326,                0.29842,                 1.0404,                0.98293,                0.97667,                 0.9927,                0.81701,                0.69226,                0.27909,                 1.0846,              0.0001982,              0.0001982,              0.0001982
                     93,                0.67336,                 0.2966,                 1.0372,                0.98261,                 0.9747,                0.99238,                0.81852,                0.69066,                 0.2793,                 1.0845,              0.0001784,              0.0001784,              0.0001784
                     94,                0.66818,                0.29327,                  1.031,                0.98517,                0.97609,                0.99296,                0.81779,                0.68984,                0.27832,                 1.0848,              0.0001586,              0.0001586,              0.0001586
                     95,                0.66532,                0.29236,                 1.0305,                0.98729,                0.97209,                0.99219,                0.81681,                0.68923,                0.27835,                 1.0842,              0.0001388,              0.0001388,              0.0001388
                     96,                0.66296,                0.29068,                 1.0278,                0.98567,                0.97492,                 0.9928,                0.81737,                0.68873,                 0.2776,                 1.0837,               0.000119,               0.000119,               0.000119
                     97,                0.65793,                 0.2879,                 1.0217,                0.98594,                0.97503,                0.99242,                0.81803,                0.68756,                0.27703,                 1.0838,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.65905,                0.28749,                 1.0239,                0.98677,                0.97462,                0.99251,                0.81865,                0.68662,                0.27668,                 1.0832,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.65392,                0.28503,                 1.0194,                0.98729,                0.97415,                0.99257,                0.81773,                0.68581,                0.27585,                  1.083,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.65358,                0.28672,                 1.0212,                0.98429,                0.97554,                 0.9926,                0.81863,                0.68555,                0.27639,                 1.0827,               3.98e-05,               3.98e-05,               3.98e-05
